,Unnamed: 0,Model,Oversample,Scaler,Neighbors,precision,recall,f1-score,support
2,accuracy,Random Forests,False,"RobustScaler(quantile_range=(25, 75))",0,0.8357800447872605,0.8357800447872605,0.8357800447872605,0.8357800447872605
3,macro avg,Random Forests,False,"RobustScaler(quantile_range=(25, 75))",0,0.7388812369900408,0.8245013461115156,0.7650610220988995,4019.0
4,weighted avg,Random Forests,False,"RobustScaler(quantile_range=(25, 75))",0,0.8766467577956433,0.8357800447872605,0.8480957385343493,4019.0
0,Active,K-Nearest Neighbors (kNN),False,MinMaxScaler(),4,0.9928986442866364,0.9309927360774818,0.9609497032177444,3304.0
1,Inactive,K-Nearest Neighbors (kNN),False,MinMaxScaler(),4,0.752442996742671,0.9692307692307692,0.8471882640586796,715.0
2,accuracy,K-Nearest Neighbors (kNN),False,MinMaxScaler(),4,0.937795471510326,0.937795471510326,0.937795471510326,0.937795471510326
3,macro avg,K-Nearest Neighbors (kNN),False,MinMaxScaler(),4,0.8726708205146538,0.9501117526541256,0.904068983638212,4019.0
4,weighted avg,K-Nearest Neighbors (kNN),False,MinMaxScaler(),4,0.950120393977123,0.937795471510326,0.9407109799038028,4019.0
0,Active,K-Nearest Neighbors (kNN),False,PowerTransformer(),10,0.9821937321937322,0.8347457627118644,0.9024869109947644,3304.0
1,Inactive,K-Nearest Neighbors (kNN),False,PowerTransformer(),10,0.5491329479768786,0.93006993006993,0.6905503634475598,715.0
2,accuracy,K-Nearest Neighbors (kNN),False,PowerTransformer(),10,0.8517044040806171,0.8517044040806171,0.8517044040806171,0.8517044040806171
3,macro avg,K-Nearest Neighbors (kNN),False,PowerTransformer(),10,0.7656633400853055,0.8824078463908973,0.7965186372211621,4019.0
4,weighted avg,K-Nearest Neighbors (kNN),False,PowerTransformer(),10,0.9051500743895396,0.8517044040806171,0.864782349786441,4019.0
0,Active,K-Nearest Neighbors (kNN),True,"RobustScaler(quantile_range=(25, 75))",4,0.9944661458333334,0.924636803874092,0.9582810539523212,3304.0
1,Inactive,K-Nearest Neighbors (kNN),True,"RobustScaler(quantile_range=(25, 75))",4,0.737064413938754,0.9762237762237762,0.8399518652226234,715.0
2,accuracy,K-Nearest Neighbors (kNN),True,"RobustScaler(quantile_range=(25, 75))",4,0.9338143816869868,0.9338143816869868,0.9338143816869868,0.9338143816869868
3,macro avg,K-Nearest Neighbors (kNN),True,"RobustScaler(quantile_range=(25, 75))",4,0.8657652798860437,0.950430290048934,0.8991164595874723,4019.0
4,weighted avg,K-Nearest Neighbors (kNN),True,"RobustScaler(quantile_range=(25, 75))",4,0.9486731032096398,0.9338143816869868,0.9372297053726412,4019.0
0,Active,K-Nearest Neighbors (kNN),True,PowerTransformer(),3,0.998380829015544,0.9331113801452784,0.9646433041301627,3304.0
1,Inactive,K-Nearest Neighbors (kNN),True,PowerTransformer(),3,0.7626208378088077,0.993006993006993,0.8626974483596598,715.0
2,accuracy,K-Nearest Neighbors (kNN),True,PowerTransformer(),3,0.9437671062453348,0.9437671062453348,0.9437671062453348,0.9437671062453348
3,macro avg,K-Nearest Neighbors (kNN),True,PowerTransformer(),3,0.8805008334121759,0.9630591865761358,0.9136703762449112,4019.0
4,weighted avg,K-Nearest Neighbors (kNN),True,PowerTransformer(),3,0.9564379592188742,0.9437671062453348,0.9465066316056768,4019.0
0,Active,K-Nearest Neighbors (kNN),True,MaxAbsScaler(),21,0.96337140606538,0.7403147699757869,0.8372411432483314,3304.0
1,Inactive,K-Nearest Neighbors (kNN),True,MaxAbsScaler(),21,0.4202702702702702,0.8699300699300699,0.566742596810934,715.0
2,accuracy,K-Nearest Neighbors (kNN),True,MaxAbsScaler(),21,0.7633739736252799,0.7633739736252799,0.7633739736252799,0.7633739736252799
3,macro avg,K-Nearest Neighbors (kNN),True,MaxAbsScaler(),21,0.6918208381678251,0.8051224199529284,0.7019918700296327,4019.0
4,weighted avg,K-Nearest Neighbors (kNN),True,MaxAbsScaler(),21,0.8667510248527641,0.7633739736252799,0.7891181124688492,4019.0
0,Active,K-Nearest Neighbors (kNN),False,MinMaxScaler(),7,0.9922907488986784,0.8180992736077481,0.8968148639681487,3304.0
1,Inactive,K-Nearest Neighbors (kNN),False,MinMaxScaler(),7,0.5359073359073359,0.9706293706293706,0.690547263681592,715.0
2,accuracy,K-Nearest Neighbors (kNN),False,MinMaxScaler(),7,0.8452351331176909,0.8452351331176909,0.8452351331176909,0.8452351331176909
3,macro avg,K-Nearest Neighbors (kNN),False,MinMaxScaler(),7,0.7640990424030072,0.8943643221185593,0.7936810638248704,4019.0
4,weighted avg,K-Nearest Neighbors (kNN),False,MinMaxScaler(),7,0.9110978799539634,0.8452351331176909,0.8601188365471762,4019.0
0,Active,K-Nearest Neighbors (kNN),True,"RobustScaler(quantile_range=(25, 75))",16,0.9811610918877356,0.7723970944309927,0.8643522438611346,3304.0
1,Inactive,K-Nearest Neighbors (kNN),True,"RobustScaler(quantile_range=(25, 75))",16,0.4696755994358251,0.9314685314685316,0.6244725738396624,715.0
2,accuracy,K-Nearest Neighbors (kNN),True,"RobustScaler(quantile_range=(25, 75))",16,0.8006966907190843,0.8006966907190843,0.8006966907190843,0.8006966907190843
3,macro avg,K-Nearest Neighbors (kNN),True,"RobustScaler(quantile_range=(25, 75))",16,0.7254183456617803,0.8519328129497621,0.7444124088503985,4019.0
4,weighted avg,K-Nearest Neighbors (kNN),True,"RobustScaler(quantile_range=(25, 75))",16,0.8901652901701151,0.8006966907190843,0.821676462804814,4019.0
0,Active,Decision Tree,True,"RobustScaler(quantile_range=(25, 75))",0,0.9548872180451128,0.8456416464891041,0.8969502407704655,3304.0
1,Inactive,Decision Tree,True,"RobustScaler(quantile_range=(25, 75))",0,0.5333943275388838,0.8153846153846154,0.6449115044247788,715.0
2,accuracy,Decision Tree,True,"RobustScaler(quantile_range=(25, 75))",0,0.8402587708385171,0.8402587708385171,0.8402587708385171,0.8402587708385171
3,macro avg,Decision Tree,True,"RobustScaler(quantile_range=(25, 75))",0,0.7441407727919983,0.8305131309368597,0.7709308725976222,4019.0
4,weighted avg,Decision Tree,True,"RobustScaler(quantile_range=(25, 75))",0,0.8799015458102399,0.8402587708385171,0.8521113016096876,4019.0
0,Active,K-Nearest Neighbors (kNN),True,"RobustScaler(quantile_range=(25, 75))",5,0.9949127906976744,0.8286924939467313,0.904227212681638,3304.0
1,Inactive,K-Nearest Neighbors (kNN),True,"RobustScaler(quantile_range=(25, 75))",5,0.55327545382794,0.9804195804195804,0.7073662966700303,715.0
2,accuracy,K-Nearest Neighbors (kNN),True,"RobustScaler(quantile_range=(25, 75))",5,0.8556854939039562,0.8556854939039562,0.8556854939039562,0.8556854939039562
3,macro avg,K-Nearest Neighbors (kNN),True,"RobustScaler(quantile_range=(25, 75))",5,0.7740941222628073,0.9045560371831558,0.8057967546758342,4019.0
4,weighted avg,K-Nearest Neighbors (kNN),True,"RobustScaler(quantile_range=(25, 75))",5,0.9163433217099014,0.8556854939039562,0.8692046809701927,4019.0
0,Active,K-Nearest Neighbors (kNN),False,MaxAbsScaler(),12,0.9736366919465512,0.8159806295399515,0.8878643174707723,3304.0
1,Inactive,K-Nearest Neighbors (kNN),False,MaxAbsScaler(),12,0.5136,0.8979020979020979,0.6534351145038167,715.0
2,accuracy,K-Nearest Neighbors (kNN),False,MaxAbsScaler(),12,0.8305548643941278,0.8305548643941278,0.8305548643941278,0.8305548643941278
3,macro avg,K-Nearest Neighbors (kNN),False,MaxAbsScaler(),12,0.7436183459732755,0.8569413637210247,0.7706497159872945,4019.0
4,weighted avg,K-Nearest Neighbors (kNN),False,MaxAbsScaler(),12,0.8917938865865651,0.8305548643941278,0.8461582014913313,4019.0
0,Active,K-Nearest Neighbors (kNN),False,PowerTransformer(),20,0.9691516709511568,0.798728813559322,0.875725900116144,3304.0
1,Inactive,K-Nearest Neighbors (kNN),False,PowerTransformer(),20,0.4868827160493827,0.8825174825174825,0.627548483341621,715.0
2,accuracy,K-Nearest Neighbors (kNN),False,PowerTransformer(),20,0.8136352326449365,0.8136352326449365,0.8136352326449365,0.8136352326449365
